,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d
,TIME,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos
,FRAME_NUMBERS,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC
,ORIGINAL,LAR,LAR,LAR,LAR,LAR,LAR,LFA,LFA,LFA,LSK,LSK,LSK,LTH,LTH,LTH,LTH,LTH,LTH,RAR,RAR,RAR,RAR,RAR,RAR,RFA,RFA,RFA,RSK,RSK,RSK,RTH,RTH,RTH,RTH,RTH,RTH
,,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder,Wrist,Wrist,Wrist,Ankle,Ankle,Ankle,Knee,Knee,Knee,Hip,Hip,Hip,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder,Wrist,Wrist,Wrist,Ankle,Ankle,Ankle,Knee,Knee,Knee,Hip,Hip,Hip
ITEM,X,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.766667,2.693158,-0.063647,1.090781,2.674283,0.01214,1.454163,2.502881,-0.055783,0.898746,3.084212,0.151668,0.141648,2.807685,0.117402,0.503709,2.676128,0.11115,0.916751,2.81572,0.417192,1.088495,2.682142,0.376295,1.432347,2.741246,0.458434,0.839717,2.434063,0.217292,0.080517,2.533797,0.258813,0.503685,2.650738,0.27173,0.931776
10,0.775,2.685523,-0.062148,1.092055,2.664091,0.013418,1.455341,2.496666,-0.055475,0.898358,3.0772,0.149899,0.14648,2.79333,0.116307,0.502589,2.664488,0.112202,0.916513,2.803148,0.418035,1.088105,2.671112,0.377604,1.432608,2.727598,0.45873,0.839552,2.431861,0.216499,0.079856,2.522771,0.258854,0.504989,2.638453,0.271679,0.933425
11,0.783333,2.677974,-0.060737,1.093615,2.653865,0.014685,1.456764,2.490697,-0.055267,0.898134,3.069303,0.148031,0.151402,2.778243,0.114965,0.501355,2.65291,0.11339,0.916372,2.7904,0.418913,1.087958,2.660058,0.378865,1.43315,2.713708,0.459092,0.839656,2.430107,0.215825,0.079466,2.51191,0.258959,0.506465,2.626371,0.271794,0.935228
12,0.791667,2.670506,-0.059436,1.095449,2.643615,0.015935,1.458413,2.48496,-0.055158,0.898079,3.060523,0.146057,0.156367,2.76246,0.113403,0.500029,2.641426,0.114652,0.916321,2.777487,0.419826,1.088049,2.648991,0.380068,1.433965,2.699575,0.459523,0.840034,2.428758,0.215269,0.079309,2.501302,0.25907,0.508077,2.614447,0.272089,0.937185
13,0.8,2.66311,-0.058263,1.097534,2.633353,0.017162,1.460263,2.479437,-0.055144,0.898191,3.050868,0.143966,0.161325,2.74604,0.11166,0.498646,2.630055,0.115927,0.916354,2.764422,0.42078,1.088363,2.637913,0.381206,1.435033,2.685205,0.460025,0.840679,2.427758,0.214832,0.079334,2.491077,0.25918,0.509751,2.602696,0.272573,0.939247
14,0.808333,2.655779,-0.057234,1.099838,2.623099,0.01836,1.46228,2.474102,-0.055222,0.898461,3.04036,0.141756,0.166226,2.729062,0.109782,0.497253,2.618797,0.117156,0.916464,2.75122,0.421786,1.088881,2.626827,0.382273,1.436322,2.670605,0.460595,0.841575,2.42704,0.21451,0.079487,2.481342,0.259274,0.511407,2.591054,0.273201,0.941377
15,0.816667,2.648502,-0.05636,1.102319,2.612871,0.019522,1.464423,2.468927,-0.055384,0.89887,3.029045,0.139435,0.17104,2.711609,0.107826,0.495904,2.607638,0.118286,0.916654,2.737897,0.422857,1.089577,2.615727,0.383267,1.437797,2.655787,0.461229,0.842696,2.426531,0.214283,0.079718,2.472203,0.259365,0.512958,2.579495,0.273924,0.943517
16,0.825,2.641271,-0.055651,1.104934,2.602695,0.020641,1.466649,2.463884,-0.055625,0.899398,3.016994,0.137026,0.175762,2.69376,0.105845,0.494656,2.596557,0.119278,0.916937,2.724467,0.424008,1.090419,2.604612,0.384187,1.439416,2.640759,0.461922,0.844014,2.426165,0.214113,0.079988,2.463751,0.259478,0.514326,2.568004,0.274701,0.945608
17,0.833333,2.634087,-0.05511,1.107634,2.592591,0.02171,1.468915,2.458942,-0.055941,0.900023,3.004302,0.134577,0.180421,2.675582,0.103887,0.49357,2.585535,0.120118,0.917336,2.710942,0.425254,1.091373,2.593479,0.385035,1.441137,2.625529,0.46267,0.845494,2.425887,0.21396,0.080273,2.456028,0.259633,0.51546,2.556579,0.275492,0.947597
18,0.841667,2.626951,-0.054741,1.110378,2.582582,0.022723,1.471179,2.454076,-0.05633,0.900722,2.991068,0.132161,0.185072,2.657136,0.101986,0.492698,2.574566,0.120815,0.917877,2.697333,0.426613,1.092403,2.58233,0.385815,1.442917,2.610097,0.463468,0.847104,2.42566,0.213788,0.080556,2.449033,0.259837,0.51634,2.545232,0.276265,0.949445
